DATE,SP500,DJIA,NASDAQ100
2016-07-07,2097.9,17895.88,4459.58
2016-07-08,2129.9,18146.74,4528.36
2016-07-11,2137.16,18226.93,4554.71
2016-07-12,2152.14,18347.67,4577.61
2016-07-13,2152.43,18372.12,4565.77
2016-07-14,2163.75,18506.41,4596.49
2016-07-15,2161.74,18516.55,4589.83
2016-07-18,2166.89,18533.05,4619.68
2016-07-19,2163.78,18559.01,4603.28
2016-07-20,2173.02,18595.03,4657.2
2016-07-21,2165.17,18517.23,4647.02
2016-07-22,2175.03,18570.85,4666.07
2016-07-25,2168.48,18493.06,4665.93
2016-07-26,2169.18,18473.75,4672.11
2016-07-27,2166.58,18472.17,4702.88
2016-07-28,2170.06,18456.35,4721.41
2016-07-29,2173.6,18432.24,4730.23
2016-08-01,2170.84,18404.51,4756.04
2016-08-02,2157.03,18313.77,4719.21
2016-08-03,2163.79,18355.0,4734.33
2016-08-04,2164.25,18352.05,4743.81
2016-08-05,2182.87,18543.53,4791.21
2016-08-08,2180.89,18529.29,4784.74
2016-08-09,2181.74,18533.05,4795.75
2016-08-10,2175.49,18495.66,4783.39
2016-08-11,2185.79,18613.52,4803.31
2016-08-12,2184.05,18576.47,4807.08
2016-08-15,2190.15,18636.05,4827.12
2016-08-16,2178.15,18552.02,4797.19
2016-08-17,2182.22,18573.94,4805.45
2016-08-18,2187.02,18597.7,4808.68
2016-08-19,2183.87,18552.57,4806.14
2016-08-22,2182.64,18529.42,4808.56
2016-08-23,2186.9,18547.3,4818.48
2016-08-24,2175.44,18481.48,4783.49
2016-08-25,2172.47,18448.41,4775.43
2016-08-26,2169.04,18395.4,4783.69
2016-08-29,2180.38,18502.99,4791.09
2016-08-30,2176.12,18454.3,4776.0
2016-08-31,2170.95,18400.88,4771.05
2016-09-01,2170.86,18419.3,4783.94
2016-09-02,2179.98,18491.96,4798.74
2016-09-05,,,
2016-09-06,2186.48,18538.12,4829.51
2016-09-07,2186.16,18526.14,4831.86
2016-09-08,2181.3,18479.91,4804.0
2016-09-09,2127.81,18085.45,4681.54
2016-09-12,2159.04,18325.07,4764.65
2016-09-13,2127.02,18066.75,4722.84
2016-09-14,2125.77,18034.77,4746.06
2016-09-15,2147.26,18212.48,4819.9
2016-09-16,2139.16,18123.8,4818.05
2016-09-19,2139.12,18120.17,4796.07
2016-09-20,2139.76,18129.96,4805.22
2016-09-21,2163.12,18293.7,4853.75
2016-09-22,2177.18,18392.46,4891.36
2016-09-23,2164.69,18261.45,4858.91
2016-09-26,2146.1,18094.83,4817.17
2016-09-27,2159.93,18228.3,4866.71
2016-09-28,2171.37,18339.24,4875.27
2016-09-29,2151.13,18143.45,4838.3
2016-09-30,2168.27,18308.15,4875.7
2016-10-03,2161.2,18253.85,4866.62
2016-10-04,2150.49,18168.45,4859.47
2016-10-05,2159.73,18281.03,4877.75
2016-10-06,2160.77,18268.5,4873.92
2016-10-07,2153.74,18240.49,4864.52
2016-10-10,2163.66,18329.04,4893.77
2016-10-11,2136.73,18128.66,4821.91
